"V1","V2","V3","V4"
0.667285184956023,0.857528022571353,0,5
0.529125331670124,0.717660593688636,1,7
0.508774073492082,0.70523100129915,1,0
0.550235583584624,0.720387627071191,0,4
0.588646469349721,0.734610609274301,0,4
0.522492535488085,0.580955613235999,1,4
0.634109913952343,0.813075563063671,0,2
0.917733277661579,0.665546570183224,1,7
0.744624809951255,0.625604673921452,1,8
0.678106610705916,0.658050559776081,1,0
0.774158531926974,0.735964805588641,1,4
0.72987428797236,0.793094157259459,1,8
0.555752207733819,0.691280025000103,0,2
0.817836690355416,0.712057993274506,1,4
0.659519851127039,0.798710929021779,1,7
0.832781236647084,0.661815808205399,1,9
0.729904686853236,0.720757213439416,0,7
0.59209626499152,0.715137503987265,1,3
0.709833737693396,0.673346147278025,1,6
0.859794455816287,0.738492978800994,1,8
0.617792318950615,0.708260216678432,0,7
0.594448820972323,0.713588902714424,0,6
0.726463740634281,0.705502265704419,0,3
0.703898144328284,0.769701518031915,0,9
0.622037138459048,0.750989757251613,0,2
0.698903270868743,1.03295780943756,1,9
0.794821545355085,0.747742160005746,1,5
0.56036809364803,0.757729769611725,1,7
0.740619345372582,0.70344684043136,0,1
0.478991287897662,0.619576744795073,1,4
0.688183895118296,0.68340543931518,0,1
0.619093213937237,0.690481108662975,1,2
0.706937217091682,0.734100450605515,1,5
0.808826042296697,0.80041063428387,1,8
0.726478497083482,0.664908877248672,0,3
0.499722881433599,0.816118376194099,0,4
0.493383071475496,0.768498425613965,1,3
0.912484240961724,0.601702966837776,0,5
0.840925386624086,0.658739323065561,0,3
0.579871964821585,0.587367413301961,1,4
0.766267918183191,0.678415476864038,1,4
0.515216564362413,0.781463650560321,0,5
0.642700856534906,0.713849772321168,0,8
0.688184097134495,0.662919729584554,0,1
0.542726000478937,0.678896289455001,1,8
0.776397425108522,0.612197208555328,1,6
0.802515208240147,0.764699913740554,0,3
0.560987215601104,0.761114969261436,1,7
0.74469339896963,0.656397969873809,1,8
0.544917510168204,0.722754574409961,1,9
0.869662852630001,0.615989246908258,0,9
0.764919705396208,0.712020695393405,1,3
0.67087288921313,0.662808157840327,1,4
0.69163023870762,0.709972753751994,0,8
0.783847765119741,0.621598593268282,1,8
0.562487510470643,0.717055448464164,1,1
0.800661298216507,0.672183580781464,1,1
0.588818084056001,0.669190708145982,1,7
0.525353771504402,0.653266168580318,1,6
0.520072005342809,0.652671583898728,1,7
0.750360716064859,0.589512215140491,1,7
0.60386063867212,0.530644840185927,0,8
0.705317125381542,0.633863668509661,1,1
0.617218794978462,0.625370932005918,0,3
0.855079102753915,0.59419648002034,1,6
0.807809831147958,0.763146004830703,1,5
0.775362364767326,0.569275117464875,0,0
0.752860799640548,0.785973700237977,1,8
0.584369286676013,0.637410537783798,1,6
0.684440642304847,0.658805951767975,0,0
0.753470939835545,0.655741272202007,0,0
0.698103560951909,0.6679726720243,1,4
0.638865593590759,0.762479323123611,1,8
0.835874202205377,0.622652600372281,1,7
0.761034836847748,0.61032365534891,1,1
0.435110503747578,0.889441162325659,0,7
