ID,x,y,spID,state0,trayID,rep
ID1,0.7599999999999999,0.4342788271749886,radish,S,1,1
ID2,2.46,0.4342788271749886,radish,S,1,1
ID3,4.16,0.43427882717498867,radish,S,1,1
ID4,5.859999999999999,0.43427882717498867,radish,S,1,1
ID5,7.5600000000000005,0.4342788271749886,radish,S,1,1
ID6,9.260000000000002,0.43427882717498867,radish,S,1,1
ID7,10.959999999999999,0.43427882717498867,radish,S,1,1
ID8,12.66,0.43427882717498867,radish,S,1,1
ID9,14.360000000000001,0.43427882717498867,radish,C,1,1
ID10,16.06,0.43427882717498867,radish,S,1,1
ID11,17.760000000000005,0.4342788271749887,radish,C,1,1
ID12,19.460000000000004,0.4342788271749887,radish,S,1,1
ID13,21.160000000000004,0.4342788271749887,radish,S,1,1
ID14,22.860000000000003,0.4342788271749887,radish,S,1,1
ID15,1.6100000000000003,1.906522013608535,radish,S,1,1
ID16,3.309999999999999,1.9065220136085343,radish,S,1,1
ID17,5.010000000000001,1.9065220136085343,radish,S,1,1
ID18,6.709999999999999,1.9065220136085343,radish,S,1,1
ID19,8.41,1.9065220136085343,radish,S,1,1
ID20,10.11,1.9065220136085343,radish,S,1,1
ID21,11.809999999999999,1.9065220136085343,radish,S,1,1
ID22,13.510000000000002,1.9065220136085343,radish,S,1,1
ID23,15.21,1.9065220136085343,radish,S,1,1
ID24,16.910000000000004,1.9065220136085346,radish,S,1,1
ID25,18.610000000000003,1.9065220136085346,radish,S,1,1
ID26,20.310000000000002,1.9065220136085346,radish,S,1,1
ID27,22.01,1.9065220136085346,radish,S,1,1
ID28,23.710000000000004,1.9065220136085346,radish,S,1,1
ID29,0.76,3.3787652000420803,radish,S,1,1
ID30,2.4600000000000004,3.3787652000420807,radish,C,1,1
ID31,4.16,3.3787652000420803,radish,S,1,1
ID32,5.859999999999999,3.37876520004208,radish,C,1,1
ID33,7.560000000000001,3.37876520004208,radish,S,1,1
ID34,9.26,3.37876520004208,radish,S,1,1
ID35,10.959999999999999,3.37876520004208,radish,S,1,1
ID36,12.660000000000002,3.37876520004208,radish,S,1,1
ID37,14.36,3.37876520004208,radish,C,1,1
ID38,16.06,3.37876520004208,radish,S,1,1
ID39,17.759999999999998,3.37876520004208,radish,S,1,1
ID40,19.46,3.37876520004208,radish,S,1,1
ID41,21.159999999999997,3.37876520004208,radish,C,1,1
ID42,22.86,3.37876520004208,radish,S,1,1
ID43,1.6099999999999999,4.851008386475626,radish,S,1,1
ID44,3.309999999999999,4.851008386475627,radish,S,1,1
ID45,5.010000000000001,4.851008386475626,radish,S,1,1
ID46,6.709999999999999,4.851008386475626,radish,S,1,1
ID47,8.409999999999998,4.851008386475626,radish,S,1,1
ID48,10.11,4.851008386475626,radish,S,1,1
ID49,11.809999999999997,4.851008386475626,radish,C,1,1
ID50,13.51,4.851008386475626,radish,S,1,1
ID51,15.21,4.851008386475626,radish,S,1,1
ID52,16.91,4.851008386475626,radish,S,1,1
ID53,18.610000000000007,4.851008386475626,radish,S,1,1
ID54,20.310000000000006,4.851008386475626,radish,S,1,1
ID55,22.010000000000005,4.851008386475626,radish,C,1,1
ID56,23.71,4.851008386475626,radish,S,1,1
ID57,0.7599999999999999,6.3232515729091725,radish,S,1,1
ID58,2.46,6.323251572909171,radish,S,1,1
ID59,4.16,6.3232515729091725,radish,S,1,1
ID60,5.859999999999999,6.323251572909172,radish,C,1,1
ID61,7.5600000000000005,6.323251572909171,radish,C,1,1
ID62,9.260000000000002,6.323251572909172,radish,S,1,1
ID63,10.959999999999999,6.323251572909172,radish,S,1,1
ID64,12.66,6.323251572909172,radish,S,1,1
ID65,14.360000000000001,6.323251572909172,radish,S,1,1
ID66,16.06,6.32325157290917,radish,S,1,1
ID67,17.760000000000005,6.323251572909171,radish,S,1,1
ID68,19.460000000000004,6.323251572909171,radish,S,1,1
ID69,21.160000000000004,6.323251572909171,radish,S,1,1
ID70,22.860000000000003,6.323251572909171,radish,S,1,1
ID71,1.61,7.795494759342716,radish,S,1,1
ID72,3.309999999999999,7.795494759342718,radish,S,1,1
ID73,5.009999999999998,7.795494759342717,radish,S,1,1
ID74,6.709999999999999,7.795494759342717,radish,S,1,1
ID75,8.409999999999997,7.795494759342717,radish,C,1,1
ID76,10.109999999999998,7.795494759342717,radish,S,1,1
ID77,11.809999999999995,7.795494759342717,radish,S,1,1
ID78,13.509999999999998,7.795494759342717,radish,S,1,1
ID79,15.209999999999997,7.795494759342717,radish,S,1,1
ID80,16.909999999999997,7.795494759342717,radish,S,1,1
ID81,18.61,7.795494759342717,radish,S,1,1
ID82,20.310000000000002,7.795494759342717,radish,S,1,1
ID83,22.009999999999998,7.795494759342717,radish,S,1,1
ID84,23.709999999999997,7.795494759342717,radish,C,1,1
ID85,0.7599999999999999,9.267737945776261,radish,S,1,1
ID86,2.4600000000000004,9.267737945776263,radish,S,1,1
ID87,4.16,9.267737945776263,radish,S,1,1
ID88,5.859999999999999,9.267737945776263,radish,S,1,1
ID89,7.5600000000000005,9.267737945776265,radish,S,1,1
ID90,9.26,9.267737945776263,radish,S,1,1
ID91,10.959999999999999,9.267737945776263,radish,C,1,1
ID92,12.660000000000002,9.267737945776263,radish,S,1,1
ID93,14.36,9.267737945776263,radish,S,1,1
ID94,16.06,9.267737945776263,radish,C,1,1
ID95,17.76,9.267737945776263,radish,S,1,1
ID96,19.46,9.267737945776263,radish,S,1,1
ID97,21.16,9.267737945776263,radish,S,1,1
ID98,22.860000000000003,9.267737945776263,radish,S,1,1
ID99,1.6099999999999999,10.73998113220981,radish,S,1,1
ID100,3.31,10.73998113220981,radish,S,1,1
ID101,5.009999999999999,10.739981132209808,radish,S,1,1
ID102,6.709999999999997,10.739981132209808,radish,S,1,1
ID103,8.409999999999998,10.739981132209808,radish,S,1,1
ID104,10.11,10.739981132209808,radish,S,1,1
ID105,11.809999999999995,10.739981132209808,radish,S,1,1
ID106,13.509999999999998,10.739981132209808,radish,S,1,1
ID107,15.209999999999996,10.739981132209808,radish,S,1,1
ID108,16.91,10.739981132209808,radish,S,1,1
ID109,18.61,10.739981132209808,radish,S,1,1
ID110,20.31,10.739981132209808,radish,S,1,1
ID111,22.009999999999998,10.739981132209808,radish,S,1,1
ID112,23.709999999999997,10.739981132209808,radish,C,1,1
ID113,0.7599999999999999,12.212224318643356,radish,C,1,1
ID114,2.46,12.212224318643354,radish,S,1,1
ID115,4.160000000000001,12.212224318643354,radish,S,1,1
ID116,5.8599999999999985,12.212224318643353,radish,S,1,1
ID117,7.5600000000000005,12.212224318643353,radish,S,1,1
ID118,9.26,12.212224318643353,radish,C,1,1
ID119,10.959999999999999,12.212224318643353,radish,S,1,1
ID120,12.66,12.212224318643353,radish,S,1,1
ID121,14.359999999999998,12.212224318643353,radish,S,1,1
ID122,16.059999999999995,12.21222431864335,radish,S,1,1
ID123,17.759999999999998,12.212224318643349,radish,S,1,1
ID124,19.459999999999997,12.212224318643349,radish,S,1,1
ID125,21.159999999999993,12.212224318643349,radish,S,1,1
ID126,22.859999999999996,12.212224318643349,radish,S,1,1
ID127,1.6099999999999999,13.684467505076901,radish,C,1,1
ID128,3.31,13.6844675050769,radish,S,1,1
ID129,5.009999999999999,13.684467505076897,radish,S,1,1
ID130,6.709999999999997,13.684467505076897,radish,S,1,1
ID131,8.409999999999998,13.684467505076897,radish,S,1,1
ID132,10.11,13.684467505076897,radish,S,1,1
ID133,11.809999999999995,13.684467505076897,radish,S,1,1
ID134,13.509999999999998,13.684467505076897,radish,S,1,1
ID135,15.209999999999996,13.684467505076897,radish,S,1,1
