d,r,w,l,n,sp
add,3,8,16,128,1
add,2.39,10,20,200,2
add,1.92,13,26,338,4
add,1.75,14,28,392,6
sub,1.75,14,28,392,1
sub,1.75,14,28,392,2
sub,1.75,14,28,392,4
sub,1.75,14,28,392,6
sub,1.92,13,26,338,1
sub,1.92,13,26,338,2
sub,1.92,13,26,338,4
sub,1.92,13,26,338,6
sub,2.39,10,20,200,1
sub,2.39,10,20,200,2
sub,2.39,10,20,200,4
sub,2.39,10,20,200,6
sub,3,8,16,128,1
sub,3,8,16,128,2
sub,3,8,16,128,4
sub,3,8,16,128,6
