"rep","dens","rand","rich","species","n","n.I","max.dI","tmax.dI","n.E","FOI","pE","pI","comp_Abund","comp_relAbund","comp_nI","pcomp_Abund","comp.i","n.Eweighted","p.Eweighted"
3,"sub",FALSE,1,"1",300,300,95,5,270,1.17785630153121,0.9,1,300,1,300,1,1,270,0.9
3,"sub",FALSE,1,"tot",300,300,95,5,270,1.17785630153121,0.9,1,300,1,300,1,NA,270,0.9
3,"sub",FALSE,2,"1",168,164,49,5,148,1.18448883666275,0.880952380952381,0.823333333333333,207.6,0.692,188.9,1.23571428571429,1,148,0.493333333333333
3,"sub",FALSE,2,"2",132,83,13,3,114,0.118933697881066,0.863636363636364,0.823333333333333,207.6,0.692,188.9,1.57272727272727,0.3,34.2,0.114
3,"sub",FALSE,2,"tot",300,247,60,5,262,0.289667393675027,0.873333333333333,0.823333333333333,207.6,0.692,188.9,0.692,NA,182.2,0.607333333333333
3,"sub",FALSE,4,"1",109,94,35,3,82,1.63137472283814,0.752293577981651,0.51,151.8,0.506,108.9,1.39266055045872,1,82,0.273333333333333
3,"sub",FALSE,4,"2",88,35,6,3,68,0.0818620853455783,0.772727272727273,0.51,151.8,0.506,108.9,1.725,0.3,20.4,0.068
3,"sub",FALSE,4,"3",61,20,4,4,46,0.0739453693227736,0.754098360655738,0.51,151.8,0.506,108.9,2.48852459016393,0.2,9.2,0.0306666666666667
3,"sub",FALSE,4,"4",42,4,0,2,31,0.0273453684522048,0.738095238095238,0.51,151.8,0.506,108.9,3.61428571428571,0.1,3.1,0.0103333333333333
3,"sub",FALSE,4,"tot",300,153,42,3,227,0.13533481557179,0.756666666666667,0.51,151.8,0.506,108.9,0.506,NA,114.7,0.382333333333333
3,"sub",FALSE,6,"1",94,66,27,3,58,1.55316091954023,0.617021276595745,0.383333333333333,130.1,0.433666666666667,77.4,1.38404255319149,1,58,0.193333333333333
3,"sub",FALSE,6,"2",75,30,5,5,53,0.120604631217839,0.706666666666667,0.383333333333333,130.1,0.433666666666667,77.4,1.73466666666667,0.3,15.9,0.053
3,"sub",FALSE,6,"3",50,10,2,3,38,0.042674253200569,0.76,0.383333333333333,130.1,0.433666666666667,77.4,2.602,0.2,7.6,0.0253333333333333
3,"sub",FALSE,6,"4",36,4,0,2,27,0.0276497695852535,0.75,0.383333333333333,130.1,0.433666666666667,77.4,3.61388888888889,0.1,2.7,0.009
3,"sub",FALSE,6,"5",26,4,0,2,14,0.103174603174603,0.538461538461538,0.383333333333333,130.1,0.433666666666667,77.4,5.00384615384615,0,0,0
3,"sub",FALSE,6,"6",19,1,0,2,14,0.0286317058468957,0.736842105263158,0.383333333333333,130.1,0.433666666666667,77.4,6.84736842105263,0,0,0
3,"sub",FALSE,6,"tot",300,115,32,3,204,0.128836626615796,0.68,0.383333333333333,130.1,0.433666666666667,77.4,0.433666666666667,NA,84.2,0.280666666666667
4,"sub",FALSE,1,"1",300,300,93,5,270,1.15740740740741,0.9,1,300,1,300,1,1,270,0.9
4,"sub",FALSE,1,"tot",300,300,93,5,270,1.15740740740741,0.9,1,300,1,300,1,NA,270,0.9
4,"sub",FALSE,2,"1",168,163,46,3,152,1.13937621832359,0.904761904761905,0.83,207.6,0.692,188.8,1.23571428571429,1,152,0.506666666666667
4,"sub",FALSE,2,"2",132,86,15,5,113,0.116412736064228,0.856060606060606,0.83,207.6,0.692,188.8,1.57272727272727,0.3,33.9,0.113
4,"sub",FALSE,2,"tot",300,249,55,3,265,0.277823352474706,0.883333333333333,0.83,207.6,0.692,188.8,0.692,NA,185.9,0.619666666666667
4,"sub",FALSE,4,"1",111,99,29,3,90,1.24454545454545,0.810810810810811,0.556666666666667,153.3,0.511,116.9,1.38108108108108,1,90,0.3
4,"sub",FALSE,4,"2",87,46,8,5,65,0.127040417209909,0.747126436781609,0.556666666666667,153.3,0.511,116.9,1.76206896551724,0.3,19.5,0.065
