"rep","dens","rand","rich","species","n","n.I","pI","max.dI","tmax.dI","n.E","FOI"
4,"sub",FALSE,6,"6",32,4,0.125,0,2,22,0.025518341307815
4,"sub",FALSE,6,"tot",392,167,0.426020408163265,38,3,283,0.0775715230416747
5,"sub",FALSE,1,"1",392,392,1,126,5,353,1.23316935373849
5,"sub",FALSE,1,"tot",392,392,1,126,5,353,1.23316935373849
5,"sub",FALSE,2,"1",229,229,1,67,3,208,1.2121163091716
5,"sub",FALSE,2,"2",163,118,0.723926380368098,19,5,145,0.0899920460393955
5,"sub",FALSE,2,"tot",392,347,0.885204081632653,78,5,353,0.229094596005699
5,"sub",FALSE,4,"1",143,123,0.86013986013986,37,3,110,1.69
5,"sub",FALSE,4,"2",100,56,0.56,7,7,72,0.120192307692308
5,"sub",FALSE,4,"3",82,26,0.317073170731707,3,5,61,0.0407686105885515
5,"sub",FALSE,4,"4",67,4,0.0597014925373134,0,2,57,0.0080179986118092
5,"sub",FALSE,4,"tot",392,209,0.533163265306122,45,3,300,0.0943623667769202
5,"sub",FALSE,6,"1",114,96,0.842105263157895,32,3,80,2.030625
5,"sub",FALSE,6,"2",82,41,0.5,9,3,52,0.139487948333526
5,"sub",FALSE,6,"3",66,13,0.196969696969697,2,7,47,0.0420435724296089
5,"sub",FALSE,6,"4",54,6,0.111111111111111,0,2,40,0.0173394495412844
5,"sub",FALSE,6,"5",44,1,0.0227272727272727,0,2,26,0.044928522804629
5,"sub",FALSE,6,"6",32,2,0.0625,0,2,23,0.0199708758061161
5,"sub",FALSE,6,"tot",392,159,0.405612244897959,42,3,268,0.0861234368697055
6,"sub",FALSE,1,"1",392,392,1,124,5,353,1.23316935373849
6,"sub",FALSE,1,"tot",392,392,1,124,5,353,1.23316935373849
6,"sub",FALSE,2,"1",229,229,1,60,5,209,1.20054485932099
6,"sub",FALSE,2,"2",163,130,0.797546012269939,16,7,144,0.122118487782388
6,"sub",FALSE,2,"tot",392,359,0.915816326530612,75,5,353,0.281939808711749
