"","rep","dens","rand","rich","species","n","time","n.I","n.E","n.S","pI","dI","rel.n","comp","comp_Abund","comp_relAbund","comp_nI"
"1",1,"sub",FALSE,1,"1",300,1,30,90,270,0.1,NA,1,1,300,1,30
"2",1,"sub",FALSE,1,"1",300,2,30,90,270,0.1,0,1,1,300,1,30
"3",1,"sub",FALSE,1,"1",300,3,113,98,187,0.376666666666667,83,1,1,300,1,113
"4",1,"sub",FALSE,1,"1",300,4,120,96,180,0.4,7,1,1,300,1,120
"5",1,"sub",FALSE,1,"1",300,5,205,64,95,0.683333333333333,85,1,1,300,1,205
"6",1,"sub",FALSE,1,"1",300,6,215,58,85,0.716666666666667,10,1,1,300,1,215
"7",1,"sub",FALSE,1,"1",300,7,267,27,33,0.89,52,1,1,300,1,267
"8",1,"sub",FALSE,1,"1",300,8,272,23,28,0.906666666666667,5,1,1,300,1,272
"9",1,"sub",FALSE,1,"1",300,9,293,6,7,0.976666666666667,21,1,1,300,1,293
"10",1,"sub",FALSE,1,"1",300,10,294,5,6,0.98,1,1,1,300,1,294
"11",1,"sub",FALSE,1,"1",300,11,298,2,2,0.993333333333333,4,1,1,300,1,298
"12",1,"sub",FALSE,1,"1",300,12,299,1,1,0.996666666666667,1,1,1,300,1,299
"13",1,"sub",FALSE,1,"1",300,13,300,0,0,1,1,1,1,300,1,300
"14",1,"sub",FALSE,1,"1",300,14,300,0,0,1,0,1,1,300,1,300
"15",1,"sub",FALSE,1,"1",300,15,300,0,0,1,0,1,1,300,1,300
"16",1,"sub",FALSE,1,"1",300,16,300,0,0,1,0,1,1,300,1,300
"17",1,"sub",FALSE,1,"1",300,17,300,0,0,1,0,1,1,300,1,300
"18",1,"sub",FALSE,1,"1",300,18,300,0,0,1,0,1,1,300,1,300
"19",1,"sub",FALSE,1,"1",300,19,300,0,0,1,0,1,1,300,1,300
"20",1,"sub",FALSE,1,"1",300,20,300,0,0,1,0,1,1,300,1,300
"21",1,"sub",FALSE,1,"tot",300,1,30,90,270,0.1,NA,1,NA,NA,NA,NA
"22",1,"sub",FALSE,1,"tot",300,2,30,90,270,0.1,0,1,NA,NA,NA,NA
"23",1,"sub",FALSE,1,"tot",300,3,113,98,187,0.376666666666667,83,1,NA,NA,NA,NA
"24",1,"sub",FALSE,1,"tot",300,4,120,96,180,0.4,7,1,NA,NA,NA,NA
