"rep","dens","rand","rich","species","n","n.I","pI","max.dI","tmax.dI","n.E","FOI"
6,"add",TRUE,6,"6",34,4,0.117647058823529,0,2,18,0.0924226979272851
6,"add",TRUE,6,"tot",392,75,0.191326530612245,16,3,174,0.228800433849449
7,"add",TRUE,1,"3",128,13,0.1015625,0,2,39,0.394200491366483
7,"add",TRUE,1,"tot",128,13,0.1015625,0,2,39,0.394200491366483
7,"add",TRUE,2,"3",117,20,0.170940170940171,3,3,39,0.385448916408669
7,"add",TRUE,2,"5",93,6,0.0645161290322581,0,2,37,0.206086027462309
7,"add",TRUE,2,"tot",210,26,0.123809523809524,3,3,76,0.288998455506713
7,"add",TRUE,4,"3",124,24,0.193548387096774,7,3,42,0.427813163481953
7,"add",TRUE,4,"4",68,12,0.176470588235294,0,2,23,0.305847076461769
7,"add",TRUE,4,"5",99,6,0.0606060606060606,0,2,33,0.319870759289176
7,"add",TRUE,4,"6",47,1,0.0212765957446809,0,2,14,0.419642857142857
7,"add",TRUE,4,"tot",338,43,0.127218934911243,7,3,112,0.364438041403612
7,"add",TRUE,6,"1",34,11,0.323529411764706,7,3,8,18.0625
7,"add",TRUE,6,"2",25,7,0.28,3,4,6,1.45502645502645
7,"add",TRUE,6,"3",121,22,0.181818181818182,6,3,50,0.258260869565217
7,"add",TRUE,6,"4",68,6,0.0882352941176471,0,2,23,0.314523589269195
7,"add",TRUE,6,"5",98,8,0.0816326530612245,0,2,41,0.178797772229691
7,"add",TRUE,6,"6",46,6,0.130434782608696,0,2,16,0.2875
7,"add",TRUE,6,"tot",392,60,0.153061224489796,13,3,144,0.31631869450444
8,"add",TRUE,1,"2",128,14,0.109375,1,4,31,0.71115142581779
8,"add",TRUE,1,"tot",128,14,0.109375,1,4,31,0.71115142581779
8,"add",TRUE,2,"1",92,86,0.934782608695652,21,3,78,1.05352252925068
8,"add",TRUE,2,"2",118,51,0.432203389830508,6,7,93,0.0784450283326474
8,"add",TRUE,2,"tot",210,137,0.652380952380952,26,3,171,0.16965318822904
8,"add",TRUE,4,"1",98,74,0.755102040816326,23,3,67,2.08647936786655
8,"add",TRUE,4,"2",124,46,0.370967741935484,5,3,89,0.097139531760598
8,"add",TRUE,4,"3",68,23,0.338235294117647,2,3,48,0.0754581901489118
8,"add",TRUE,4,"4",48,3,0.0625,0,2,28,0.078457012095456
8,"add",TRUE,4,"tot",338,146,0.431952662721893,30,3,232,0.15189069740596
8,"add",TRUE,6,"1",97,75,0.77319587628866,27,3,67,2.09601247493874
8,"add",TRUE,6,"2",121,58,0.479338842975207,12,5,80,0.181415620641562
8,"add",TRUE,6,"3",68,15,0.220588235294118,2,7,47,0.0746739876458476
8,"add",TRUE,6,"4",47,6,0.127659574468085,0,2,32,0.0437997017892644
8,"add",TRUE,6,"5",25,4,0.16,0,2,16,0.0560258964143426
8,"add",TRUE,6,"6",34,4,0.117647058823529,0,2,19,0.0796501639856317
8,"add",TRUE,6,"tot",392,162,0.413265306122449,35,3,261,0.152900436889104
9,"add",TRUE,1,"4",128,13,0.1015625,0,2,45,0.276127355425601
9,"add",TRUE,1,"tot",128,13,0.1015625,0,2,45,0.276127355425601
9,"add",TRUE,2,"3",93,14,0.150537634408602,2,3,33,0.343680709534368
9,"add",TRUE,2,"4",117,12,0.102564102564103,0,2,39,0.319672131147541
9,"add",TRUE,2,"tot",210,26,0.123809523809524,2,3,72,0.329710144927536
9,"add",TRUE,4,"3",99,16,0.161616161616162,6,3,35,0.40969387755102
9,"add",TRUE,4,"4",123,12,0.0975609756097561,0,2,47,0.226788616899973
9,"add",TRUE,4,"5",68,5,0.0735294117647059,0,2,19,0.496794393916803
9,"add",TRUE,4,"6",48,10,0.208333333333333,0,2,16,0.325423728813559
9,"add",TRUE,4,"tot",338,43,0.127218934911243,6,3,117,0.327473851377252
9,"add",TRUE,6,"1",24,12,0.5,9,3,9,7.11111111111111
9,"add",TRUE,6,"2",33,9,0.272727272727273,3,3,11,0.510204081632653
9,"add",TRUE,6,"3",98,13,0.13265306122449,1,4,32,0.367283950617284
9,"add",TRUE,6,"4",123,13,0.105691056910569,0,2,45,0.254719235364397
9,"add",TRUE,6,"5",68,3,0.0441176470588235,0,2,29,0.172870086695783
9,"add",TRUE,6,"6",46,3,0.0652173913043478,0,2,18,0.214881548214882
9,"add",TRUE,6,"tot",392,53,0.135204081632653,12,3,144,0.294476557482338
10,"add",TRUE,1,"1",128,98,0.765625,18,4,108,0.185185185185185
10,"add",TRUE,1,"tot",128,98,0.765625,18,4,108,0.185185185185185
10,"add",TRUE,2,"1",117,93,0.794871794871795,26,3,79,1.7179746835443
10,"add",TRUE,2,"4",93,6,0.0645161290322581,0,2,68,0.0304191961482102
10,"add",TRUE,2,"tot",210,99,0.471428571428571,26,3,147,0.164565826330532
10,"add",TRUE,4,"1",125,96,0.768,37,3,83,2.26810857889389
10,"add",TRUE,4,"3",47,12,0.25531914893617,1,3,28,0.100213219616205
10,"add",TRUE,4,"4",99,11,0.111111111111111,0,2,66,0.0448369565217391
10,"add",TRUE,4,"5",67,3,0.0447761194029851,0,2,50,0.0267057444314185
10,"add",TRUE,4,"tot",338,122,0.36094674556213,38,3,227,0.121338398871439
10,"add",TRUE,6,"1",122,84,0.688524590163934,32,3,70,3.03755102040816
10,"add",TRUE,6,"2",34,11,0.323529411764706,3,5,24,0.092816091954023
10,"add",TRUE,6,"3",47,14,0.297872340425532,2,3,29,0.1101011994003
10,"add",TRUE,6,"4",96,7,0.0729166666666667,0,2,64,0.0449859418931584
10,"add",TRUE,6,"5",68,8,0.117647058823529,0,2,35,0.11189229618549
10,"add",TRUE,6,"6",25,1,0.04,0,2,13,0.0981996726677578
10,"add",TRUE,6,"tot",392,125,0.318877551020408,35,3,235,0.155722120956997
