"trayID","horiz","vert","ID","x","y","rand","dens","richness","rep","SD","spID","state0","day_infected"
3,1.5,"E","ID44",1.845,13.5199,"det","add",1,3,0.5,"radish","S",NA
3,2.5,"E","ID45",4.645,13.5199,"det","add",1,3,0.5,"radish","S",NA
3,3.5,"E","ID46",7.445,13.5199,"det","add",1,3,0.5,"radish","S",NA
3,4.5,"E","ID47",10.245,13.5199,"det","add",1,3,0.5,"radish","S",NA
3,5.5,"E","ID48",13.045,13.5199,"det","add",1,3,0.5,"radish","C",NA
3,6.5,"E","ID49",15.845,13.5199,"det","add",1,3,0.5,"radish","S",NA
3,7.5,"E","ID50",18.645,13.5199,"det","add",1,3,0.5,"radish","S",NA
3,8.5,"E","ID51",21.445,13.5199,"det","add",1,3,0.5,"radish","S",NA
3,1,"D","ID52",0.445,15.9448,"det","add",1,3,0.5,"radish","C",NA
3,2,"D","ID53",3.245,15.9448,"det","add",1,3,0.5,"radish","S",NA
3,3,"D","ID54",6.045,15.9448,"det","add",1,3,0.5,"radish","S",NA
3,4,"D","ID55",8.845,15.9448,"det","add",1,3,0.5,"radish","S",NA
3,5,"D","ID56",11.645,15.9448,"det","add",1,3,0.5,"radish","S",NA
3,6,"D","ID57",14.445,15.9448,"det","add",1,3,0.5,"radish","S",NA
3,7,"D","ID58",17.245,15.9448,"det","add",1,3,0.5,"radish","S",NA
3,8,"D","ID59",20.045,15.9448,"det","add",1,3,0.5,"radish","S",NA
3,9,"D","ID60",22.845,15.9448,"det","add",1,3,0.5,"radish","S",NA
3,1.5,"C","ID61",1.845,18.3697,"det","add",1,3,0.5,"radish","S",NA
3,2.5,"C","ID62",4.645,18.3697,"det","add",1,3,0.5,"radish","S",NA
3,3.5,"C","ID63",7.445,18.3697,"det","add",1,3,0.5,"radish","S",NA
3,4.5,"C","ID64",10.245,18.3697,"det","add",1,3,0.5,"radish","S",NA
3,5.5,"C","ID65",13.045,18.3697,"det","add",1,3,0.5,"radish","S",NA
3,6.5,"C","ID66",15.845,18.3697,"det","add",1,3,0.5,"radish","S",NA
3,7.5,"C","ID67",18.645,18.3697,"det","add",1,3,0.5,"radish","S",NA
3,8.5,"C","ID68",21.445,18.3697,"det","add",1,3,0.5,"radish","S",NA
3,1,"B","ID69",0.445,20.7945,"det","add",1,3,0.5,"radish","S",NA
