"rep","rand","dens","Dist","richness","order","nind","comp","species","SD","ID","trayID"
10,"stoch","add",2.1,2,"V3",0,0.3,"sp_2",0.5,"10.stoch.add.2",63
10,"stoch","add",2.1,2,"V4",0,0.2,"sp_3",0.5,"10.stoch.add.2",63
10,"stoch","add",2.1,2,"V5",0,0,"sp_5",0.5,"10.stoch.add.2",63
10,"stoch","add",2.1,2,"V6",0,0,"sp_6",0.5,"10.stoch.add.2",63
10,"stoch","add",1.7,4,"V1",86,0.1,"sp_4",0.5,"10.stoch.add.4",106
10,"stoch","add",1.7,4,"V2",61,1,"sp_1",0.5,"10.stoch.add.4",106
10,"stoch","add",1.7,4,"V3",50,0.3,"sp_2",0.5,"10.stoch.add.4",106
10,"stoch","add",1.7,4,"V4",41,0.2,"sp_3",0.5,"10.stoch.add.4",106
10,"stoch","add",1.7,4,"V5",0,0,"sp_5",0.5,"10.stoch.add.4",106
10,"stoch","add",1.7,4,"V6",0,0,"sp_6",0.5,"10.stoch.add.4",106
10,"stoch","add",1.5,6,"V1",87,0.1,"sp_4",0.5,"10.stoch.add.6",149
10,"stoch","add",1.5,6,"V2",63,1,"sp_1",0.5,"10.stoch.add.6",149
10,"stoch","add",1.5,6,"V3",51,0.3,"sp_2",0.5,"10.stoch.add.6",149
10,"stoch","add",1.5,6,"V4",42,0.2,"sp_3",0.5,"10.stoch.add.6",149
10,"stoch","add",1.5,6,"V5",35,0,"sp_5",0.5,"10.stoch.add.6",149
10,"stoch","add",1.5,6,"V6",26,0,"sp_6",0.5,"10.stoch.add.6",149
1,"stoch","sub",1.7,1,"V1",238,0,"sp_5",0.5,"1.stoch.sub.1",31
1,"stoch","sub",1.7,1,"V2",0,0,"sp_6",0.5,"1.stoch.sub.1",31
1,"stoch","sub",1.7,1,"V3",0,0.3,"sp_2",0.5,"1.stoch.sub.1",31
1,"stoch","sub",1.7,1,"V4",0,1,"sp_1",0.5,"1.stoch.sub.1",31
1,"stoch","sub",1.7,1,"V5",0,0.2,"sp_3",0.5,"1.stoch.sub.1",31
1,"stoch","sub",1.7,1,"V6",0,0.1,"sp_4",0.5,"1.stoch.sub.1",31
1,"stoch","sub",1.7,2,"V1",138,0,"sp_5",0.5,"1.stoch.sub.2",74
1,"stoch","sub",1.7,2,"V2",100,0,"sp_6",0.5,"1.stoch.sub.2",74
1,"stoch","sub",1.7,2,"V3",0,0.3,"sp_2",0.5,"1.stoch.sub.2",74
1,"stoch","sub",1.7,2,"V4",0,1,"sp_1",0.5,"1.stoch.sub.2",74
1,"stoch","sub",1.7,2,"V5",0,0.2,"sp_3",0.5,"1.stoch.sub.2",74
1,"stoch","sub",1.7,2,"V6",0,0.1,"sp_4",0.5,"1.stoch.sub.2",74
1,"stoch","sub",1.7,4,"V1",86,0,"sp_5",0.5,"1.stoch.sub.4",117
1,"stoch","sub",1.7,4,"V2",61,0,"sp_6",0.5,"1.stoch.sub.4",117
1,"stoch","sub",1.7,4,"V3",50,0.3,"sp_2",0.5,"1.stoch.sub.4",117
1,"stoch","sub",1.7,4,"V4",41,1,"sp_1",0.5,"1.stoch.sub.4",117
1,"stoch","sub",1.7,4,"V5",0,0.2,"sp_3",0.5,"1.stoch.sub.4",117
1,"stoch","sub",1.7,4,"V6",0,0.1,"sp_4",0.5,"1.stoch.sub.4",117
1,"stoch","sub",1.7,6,"V1",68,0,"sp_5",0.5,"1.stoch.sub.6",160
1,"stoch","sub",1.7,6,"V2",50,0,"sp_6",0.5,"1.stoch.sub.6",160
1,"stoch","sub",1.7,6,"V3",40,0.3,"sp_2",0.5,"1.stoch.sub.6",160
1,"stoch","sub",1.7,6,"V4",33,1,"sp_1",0.5,"1.stoch.sub.6",160
1,"stoch","sub",1.7,6,"V5",27,0.2,"sp_3",0.5,"1.stoch.sub.6",160
1,"stoch","sub",1.7,6,"V6",20,0.1,"sp_4",0.5,"1.stoch.sub.6",160
2,"stoch","sub",1.7,1,"V1",238,0,"sp_6",0.5,"2.stoch.sub.1",32
2,"stoch","sub",1.7,1,"V2",0,0.3,"sp_2",0.5,"2.stoch.sub.1",32
2,"stoch","sub",1.7,1,"V3",0,0.2,"sp_3",0.5,"2.stoch.sub.1",32
2,"stoch","sub",1.7,1,"V4",0,0,"sp_5",0.5,"2.stoch.sub.1",32
2,"stoch","sub",1.7,1,"V5",0,1,"sp_1",0.5,"2.stoch.sub.1",32
2,"stoch","sub",1.7,1,"V6",0,0.1,"sp_4",0.5,"2.stoch.sub.1",32
2,"stoch","sub",1.7,2,"V1",138,0,"sp_6",0.5,"2.stoch.sub.2",75
2,"stoch","sub",1.7,2,"V2",100,0.3,"sp_2",0.5,"2.stoch.sub.2",75
2,"stoch","sub",1.7,2,"V3",0,0.2,"sp_3",0.5,"2.stoch.sub.2",75
2,"stoch","sub",1.7,2,"V4",0,0,"sp_5",0.5,"2.stoch.sub.2",75
2,"stoch","sub",1.7,2,"V5",0,1,"sp_1",0.5,"2.stoch.sub.2",75
2,"stoch","sub",1.7,2,"V6",0,0.1,"sp_4",0.5,"2.stoch.sub.2",75
2,"stoch","sub",1.7,4,"V1",86,0,"sp_6",0.5,"2.stoch.sub.4",118
2,"stoch","sub",1.7,4,"V2",61,0.3,"sp_2",0.5,"2.stoch.sub.4",118
2,"stoch","sub",1.7,4,"V3",50,0.2,"sp_3",0.5,"2.stoch.sub.4",118
2,"stoch","sub",1.7,4,"V4",41,0,"sp_5",0.5,"2.stoch.sub.4",118
2,"stoch","sub",1.7,4,"V5",0,1,"sp_1",0.5,"2.stoch.sub.4",118
2,"stoch","sub",1.7,4,"V6",0,0.1,"sp_4",0.5,"2.stoch.sub.4",118
2,"stoch","sub",1.7,6,"V1",68,0,"sp_6",0.5,"2.stoch.sub.6",161
2,"stoch","sub",1.7,6,"V2",50,0.3,"sp_2",0.5,"2.stoch.sub.6",161
2,"stoch","sub",1.7,6,"V3",40,0.2,"sp_3",0.5,"2.stoch.sub.6",161
2,"stoch","sub",1.7,6,"V4",33,0,"sp_5",0.5,"2.stoch.sub.6",161
2,"stoch","sub",1.7,6,"V5",27,1,"sp_1",0.5,"2.stoch.sub.6",161
2,"stoch","sub",1.7,6,"V6",20,0.1,"sp_4",0.5,"2.stoch.sub.6",161
3,"stoch","sub",1.7,1,"V1",238,1,"sp_1",0.5,"3.stoch.sub.1",33
3,"stoch","sub",1.7,1,"V2",0,0,"sp_5",0.5,"3.stoch.sub.1",33
3,"stoch","sub",1.7,1,"V3",0,0.3,"sp_2",0.5,"3.stoch.sub.1",33
3,"stoch","sub",1.7,1,"V4",0,0.2,"sp_3",0.5,"3.stoch.sub.1",33
3,"stoch","sub",1.7,1,"V5",0,0.1,"sp_4",0.5,"3.stoch.sub.1",33
3,"stoch","sub",1.7,1,"V6",0,0,"sp_6",0.5,"3.stoch.sub.1",33
3,"stoch","sub",1.7,2,"V1",138,1,"sp_1",0.5,"3.stoch.sub.2",76
3,"stoch","sub",1.7,2,"V2",100,0,"sp_5",0.5,"3.stoch.sub.2",76
3,"stoch","sub",1.7,2,"V3",0,0.3,"sp_2",0.5,"3.stoch.sub.2",76
3,"stoch","sub",1.7,2,"V4",0,0.2,"sp_3",0.5,"3.stoch.sub.2",76
3,"stoch","sub",1.7,2,"V5",0,0.1,"sp_4",0.5,"3.stoch.sub.2",76
3,"stoch","sub",1.7,2,"V6",0,0,"sp_6",0.5,"3.stoch.sub.2",76
3,"stoch","sub",1.7,4,"V1",86,1,"sp_1",0.5,"3.stoch.sub.4",119
3,"stoch","sub",1.7,4,"V2",61,0,"sp_5",0.5,"3.stoch.sub.4",119
3,"stoch","sub",1.7,4,"V3",50,0.3,"sp_2",0.5,"3.stoch.sub.4",119
3,"stoch","sub",1.7,4,"V4",41,0.2,"sp_3",0.5,"3.stoch.sub.4",119
3,"stoch","sub",1.7,4,"V5",0,0.1,"sp_4",0.5,"3.stoch.sub.4",119
3,"stoch","sub",1.7,4,"V6",0,0,"sp_6",0.5,"3.stoch.sub.4",119
3,"stoch","sub",1.7,6,"V1",68,1,"sp_1",0.5,"3.stoch.sub.6",162
3,"stoch","sub",1.7,6,"V2",50,0,"sp_5",0.5,"3.stoch.sub.6",162
3,"stoch","sub",1.7,6,"V3",40,0.3,"sp_2",0.5,"3.stoch.sub.6",162
3,"stoch","sub",1.7,6,"V4",33,0.2,"sp_3",0.5,"3.stoch.sub.6",162
3,"stoch","sub",1.7,6,"V5",27,0.1,"sp_4",0.5,"3.stoch.sub.6",162
3,"stoch","sub",1.7,6,"V6",20,0,"sp_6",0.5,"3.stoch.sub.6",162
4,"stoch","sub",1.7,1,"V1",238,0.3,"sp_2",0.5,"4.stoch.sub.1",34
4,"stoch","sub",1.7,1,"V2",0,0.1,"sp_4",0.5,"4.stoch.sub.1",34
4,"stoch","sub",1.7,1,"V3",0,0,"sp_5",0.5,"4.stoch.sub.1",34
4,"stoch","sub",1.7,1,"V4",0,1,"sp_1",0.5,"4.stoch.sub.1",34
4,"stoch","sub",1.7,1,"V5",0,0.2,"sp_3",0.5,"4.stoch.sub.1",34
4,"stoch","sub",1.7,1,"V6",0,0,"sp_6",0.5,"4.stoch.sub.1",34
4,"stoch","sub",1.7,2,"V1",138,0.3,"sp_2",0.5,"4.stoch.sub.2",77
4,"stoch","sub",1.7,2,"V2",100,0.1,"sp_4",0.5,"4.stoch.sub.2",77
4,"stoch","sub",1.7,2,"V3",0,0,"sp_5",0.5,"4.stoch.sub.2",77
4,"stoch","sub",1.7,2,"V4",0,1,"sp_1",0.5,"4.stoch.sub.2",77
4,"stoch","sub",1.7,2,"V5",0,0.2,"sp_3",0.5,"4.stoch.sub.2",77
4,"stoch","sub",1.7,2,"V6",0,0,"sp_6",0.5,"4.stoch.sub.2",77
4,"stoch","sub",1.7,4,"V1",86,0.3,"sp_2",0.5,"4.stoch.sub.4",120
4,"stoch","sub",1.7,4,"V2",61,0.1,"sp_4",0.5,"4.stoch.sub.4",120
4,"stoch","sub",1.7,4,"V3",50,0,"sp_5",0.5,"4.stoch.sub.4",120
4,"stoch","sub",1.7,4,"V4",41,1,"sp_1",0.5,"4.stoch.sub.4",120
4,"stoch","sub",1.7,4,"V5",0,0.2,"sp_3",0.5,"4.stoch.sub.4",120
4,"stoch","sub",1.7,4,"V6",0,0,"sp_6",0.5,"4.stoch.sub.4",120
4,"stoch","sub",1.7,6,"V1",68,0.3,"sp_2",0.5,"4.stoch.sub.6",163
4,"stoch","sub",1.7,6,"V2",50,0.1,"sp_4",0.5,"4.stoch.sub.6",163
4,"stoch","sub",1.7,6,"V3",40,0,"sp_5",0.5,"4.stoch.sub.6",163
4,"stoch","sub",1.7,6,"V4",33,1,"sp_1",0.5,"4.stoch.sub.6",163
4,"stoch","sub",1.7,6,"V5",27,0.2,"sp_3",0.5,"4.stoch.sub.6",163
4,"stoch","sub",1.7,6,"V6",20,0,"sp_6",0.5,"4.stoch.sub.6",163
5,"stoch","sub",1.7,1,"V1",238,0.2,"sp_3",0.5,"5.stoch.sub.1",35
5,"stoch","sub",1.7,1,"V2",0,0,"sp_6",0.5,"5.stoch.sub.1",35
5,"stoch","sub",1.7,1,"V3",0,0.3,"sp_2",0.5,"5.stoch.sub.1",35
5,"stoch","sub",1.7,1,"V4",0,0,"sp_5",0.5,"5.stoch.sub.1",35
5,"stoch","sub",1.7,1,"V5",0,1,"sp_1",0.5,"5.stoch.sub.1",35
5,"stoch","sub",1.7,1,"V6",0,0.1,"sp_4",0.5,"5.stoch.sub.1",35
5,"stoch","sub",1.7,2,"V1",138,0.2,"sp_3",0.5,"5.stoch.sub.2",78
5,"stoch","sub",1.7,2,"V2",100,0,"sp_6",0.5,"5.stoch.sub.2",78
5,"stoch","sub",1.7,2,"V3",0,0.3,"sp_2",0.5,"5.stoch.sub.2",78
5,"stoch","sub",1.7,2,"V4",0,0,"sp_5",0.5,"5.stoch.sub.2",78
5,"stoch","sub",1.7,2,"V5",0,1,"sp_1",0.5,"5.stoch.sub.2",78
5,"stoch","sub",1.7,2,"V6",0,0.1,"sp_4",0.5,"5.stoch.sub.2",78
5,"stoch","sub",1.7,4,"V1",86,0.2,"sp_3",0.5,"5.stoch.sub.4",121
5,"stoch","sub",1.7,4,"V2",61,0,"sp_6",0.5,"5.stoch.sub.4",121
5,"stoch","sub",1.7,4,"V3",50,0.3,"sp_2",0.5,"5.stoch.sub.4",121
5,"stoch","sub",1.7,4,"V4",41,0,"sp_5",0.5,"5.stoch.sub.4",121
5,"stoch","sub",1.7,4,"V5",0,1,"sp_1",0.5,"5.stoch.sub.4",121
5,"stoch","sub",1.7,4,"V6",0,0.1,"sp_4",0.5,"5.stoch.sub.4",121
5,"stoch","sub",1.7,6,"V1",68,0.2,"sp_3",0.5,"5.stoch.sub.6",164
5,"stoch","sub",1.7,6,"V2",50,0,"sp_6",0.5,"5.stoch.sub.6",164
5,"stoch","sub",1.7,6,"V3",40,0.3,"sp_2",0.5,"5.stoch.sub.6",164
5,"stoch","sub",1.7,6,"V4",33,0,"sp_5",0.5,"5.stoch.sub.6",164
5,"stoch","sub",1.7,6,"V5",27,1,"sp_1",0.5,"5.stoch.sub.6",164
5,"stoch","sub",1.7,6,"V6",20,0.1,"sp_4",0.5,"5.stoch.sub.6",164
6,"stoch","sub",1.7,1,"V1",238,0.1,"sp_4",0.5,"6.stoch.sub.1",36
6,"stoch","sub",1.7,1,"V2",0,0,"sp_6",0.5,"6.stoch.sub.1",36
6,"stoch","sub",1.7,1,"V3",0,0.3,"sp_2",0.5,"6.stoch.sub.1",36
6,"stoch","sub",1.7,1,"V4",0,0.2,"sp_3",0.5,"6.stoch.sub.1",36
6,"stoch","sub",1.7,1,"V5",0,0,"sp_5",0.5,"6.stoch.sub.1",36
6,"stoch","sub",1.7,1,"V6",0,1,"sp_1",0.5,"6.stoch.sub.1",36
6,"stoch","sub",1.7,2,"V1",138,0.1,"sp_4",0.5,"6.stoch.sub.2",79
6,"stoch","sub",1.7,2,"V2",100,0,"sp_6",0.5,"6.stoch.sub.2",79
6,"stoch","sub",1.7,2,"V3",0,0.3,"sp_2",0.5,"6.stoch.sub.2",79
6,"stoch","sub",1.7,2,"V4",0,0.2,"sp_3",0.5,"6.stoch.sub.2",79
6,"stoch","sub",1.7,2,"V5",0,0,"sp_5",0.5,"6.stoch.sub.2",79
6,"stoch","sub",1.7,2,"V6",0,1,"sp_1",0.5,"6.stoch.sub.2",79
6,"stoch","sub",1.7,4,"V1",86,0.1,"sp_4",0.5,"6.stoch.sub.4",122
6,"stoch","sub",1.7,4,"V2",61,0,"sp_6",0.5,"6.stoch.sub.4",122
6,"stoch","sub",1.7,4,"V3",50,0.3,"sp_2",0.5,"6.stoch.sub.4",122
6,"stoch","sub",1.7,4,"V4",41,0.2,"sp_3",0.5,"6.stoch.sub.4",122
6,"stoch","sub",1.7,4,"V5",0,0,"sp_5",0.5,"6.stoch.sub.4",122
6,"stoch","sub",1.7,4,"V6",0,1,"sp_1",0.5,"6.stoch.sub.4",122
6,"stoch","sub",1.7,6,"V1",68,0.1,"sp_4",0.5,"6.stoch.sub.6",165
6,"stoch","sub",1.7,6,"V2",50,0,"sp_6",0.5,"6.stoch.sub.6",165
6,"stoch","sub",1.7,6,"V3",40,0.3,"sp_2",0.5,"6.stoch.sub.6",165
6,"stoch","sub",1.7,6,"V4",33,0.2,"sp_3",0.5,"6.stoch.sub.6",165
6,"stoch","sub",1.7,6,"V5",27,0,"sp_5",0.5,"6.stoch.sub.6",165
6,"stoch","sub",1.7,6,"V6",20,1,"sp_1",0.5,"6.stoch.sub.6",165
7,"stoch","sub",1.7,1,"V1",238,0,"sp_5",0.5,"7.stoch.sub.1",37
7,"stoch","sub",1.7,1,"V2",0,0.1,"sp_4",0.5,"7.stoch.sub.1",37
7,"stoch","sub",1.7,1,"V3",0,0.3,"sp_2",0.5,"7.stoch.sub.1",37
7,"stoch","sub",1.7,1,"V4",0,1,"sp_1",0.5,"7.stoch.sub.1",37
7,"stoch","sub",1.7,1,"V5",0,0,"sp_6",0.5,"7.stoch.sub.1",37
