ID,x,y,horiz,vert,trayID,rand,dens,richness,rep,SD,spID,comp,state0,day_infected,
ID75,17.245,20.79453607,7,B,1,det,add,1,1,0.5,radish,1,S,,
ID76,20.045,20.79453607,8,B,1,det,add,1,1,0.5,radish,1,S,,
ID77,22.845,20.79453607,9,B,1,det,add,1,1,0.5,radish,1,S,,
ID78,1.845,23.2194072,1.5,A,1,det,add,1,1,0.5,radish,1,S,,
ID79,4.645,23.2194072,2.5,A,1,det,add,1,1,0.5,radish,1,S,NA,
ID80,7.445,23.2194072,3.5,A,1,det,add,1,1,0.5,radish,1,S,,
ID81,10.245,23.2194072,4.5,A,1,det,add,1,1,0.5,radish,1,S,,
ID82,13.045,23.2194072,5.5,A,1,det,add,1,1,0.5,radish,1,S,,
ID83,15.845,23.2194072,6.5,A,1,det,add,1,1,0.5,radish,1,S,,
ID84,18.645,23.2194072,7.5,A,1,det,add,1,1,0.5,radish,1,S,,
ID85,21.445,23.2194072,8.5,A,1,det,add,1,1,0.5,radish,1,S,,
ID1,0.445,1.395567025,1,J,2,det,add,1,2,0.5,radish,1,C,,
ID2,3.245,1.395567025,2,J,2,det,add,1,2,0.5,radish,1,S,,
ID3,6.045,1.395567025,3,J,2,det,add,1,2,0.5,radish,1,S,,
ID4,8.845,1.395567025,4,J,2,det,add,1,2,0.5,radish,1,S,,
ID5,11.645,1.395567025,5,J,2,det,add,1,2,0.5,radish,1,S,,
ID6,14.445,1.395567025,6,J,2,det,add,1,2,0.5,radish,1,C,,
ID7,17.245,1.395567025,7,J,2,det,add,1,2,0.5,radish,1,S,,
ID8,20.045,1.395567025,8,J,2,det,add,1,2,0.5,radish,1,S,,
ID9,22.845,1.395567025,9,J,2,det,add,1,2,0.5,radish,1,S,,
ID10,1.845,3.820438156,1.5,I,2,det,add,1,2,0.5,radish,1,S,,
ID11,4.645,3.820438156,2.5,I,2,det,add,1,2,0.5,radish,1,S,,
ID12,7.445,3.820438156,3.5,I,2,det,add,1,2,0.5,radish,1,S,,
ID13,10.245,3.820438156,4.5,I,2,det,add,1,2,0.5,radish,1,S,,
ID14,13.045,3.820438156,5.5,I,2,det,add,1,2,0.5,radish,1,C,,
ID15,15.845,3.820438156,6.5,I,2,det,add,1,2,0.5,radish,1,S,,
ID16,18.645,3.820438156,7.5,I,2,det,add,1,2,0.5,radish,1,S,,
ID17,21.445,3.820438156,8.5,I,2,det,add,1,2,0.5,radish,1,S,,
ID18,0.445,6.245309287,1,H,2,det,add,1,2,0.5,radish,1,S,,
ID19,3.245,6.245309287,2,H,2,det,add,1,2,0.5,radish,1,S,,
ID20,6.045,6.245309287,3,H,2,det,add,1,2,0.5,radish,1,S,,
ID21,8.845,6.245309287,4,H,2,det,add,1,2,0.5,radish,1,S,,
ID22,11.645,6.245309287,5,H,2,det,add,1,2,0.5,radish,1,S,,
ID23,14.445,6.245309287,6,H,2,det,add,1,2,0.5,radish,1,S,,
ID24,17.245,6.245309287,7,H,2,det,add,1,2,0.5,radish,1,S,,
ID25,20.045,6.245309287,8,H,2,det,add,1,2,0.5,radish,1,S,,
ID26,22.845,6.245309287,9,H,2,det,add,1,2,0.5,radish,1,S,,
ID27,1.845,8.670180417,1.5,G,2,det,add,1,2,0.5,radish,1,S,,
ID28,4.645,8.670180417,2.5,G,2,det,add,1,2,0.5,radish,1,C,,
ID29,7.445,8.670180417,3.5,G,2,det,add,1,2,0.5,radish,1,S,,
ID30,10.245,8.670180417,4.5,G,2,det,add,1,2,0.5,radish,1,C,,
ID31,13.045,8.670180417,5.5,G,2,det,add,1,2,0.5,radish,1,S,,
ID32,15.845,8.670180417,6.5,G,2,det,add,1,2,0.5,radish,1,S,,
ID33,18.645,8.670180417,7.5,G,2,det,add,1,2,0.5,radish,1,S,,
ID34,21.445,8.670180417,8.5,G,2,det,add,1,2,0.5,radish,1,S,,
ID35,0.445,11.09505155,1,F,2,det,add,1,2,0.5,radish,1,S,,
ID36,3.245,11.09505155,2,F,2,det,add,1,2,0.5,radish,1,S,,
ID37,6.045,11.09505155,3,F,2,det,add,1,2,0.5,radish,1,C,,
ID38,8.845,11.09505155,4,F,2,det,add,1,2,0.5,radish,1,S,,
ID39,11.645,11.09505155,5,F,2,det,add,1,2,0.5,radish,1,S,,
ID40,14.445,11.09505155,6,F,2,det,add,1,2,0.5,radish,1,S,,
